;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;packetDelayStat;packetDelayStat[0];packetDelayStat[1];packetDelayStat[2];packetDelayStat[3];packetDelayStat[4];packetDelayStat[5];packetDelayStat[6];packetDelayStat[7];packetDelayStat[8];packetDelayStat[9];packetDelayStatError[0];packetDelayStatError[1];packetDelayStatError[2];packetDelayStatError[3];packetDelayStatError[4];packetDelayStatError[5];packetDelayStatError[6];packetDelayStatError[7];packetDelayStatError[8];packetDelayStatError[9]
0;1;-1;-1;-1;1;1;1;-1;0.000252215;0.000251937;0.000252559;0.000252122;0.000253112;0.000250773;0.000253297;0.000252583;0.000250714;0.000252302;0.000252754;-2.79E-07;3.44E-07;-9.28E-08;8.97E-07;-1.44E-06;1.08E-06;3.67E-07;-1.50E-06;8.64E-08;5.39E-07
1;1;-1;-1;1;1;-1;-1;1;0.000293476;0.000288453;0.000296197;0.000287953;0.000303661;0.000304339;0.000289759;0.00028728;0.000297591;0.000287217;0.000292309;-5.02E-06;2.72E-06;-5.52E-06;1.02E-05;1.09E-05;-3.72E-06;-6.20E-06;4.11E-06;-6.26E-06;-1.17E-06
2;1;-1;1;-1;-1;1;-1;1;0.000773686;0.000774379;0.000773136;0.000772572;0.000773639;0.000771486;0.000774298;0.000775469;0.000778521;0.000770608;0.000772752;6.93E-07;-5.50E-07;-1.11E-06;-4.65E-08;-2.20E-06;6.12E-07;1.78E-06;4.84E-06;-3.08E-06;-9.34E-07
3;1;-1;1;1;-1;-1;1;-1;0.01869928;0.061756896;0.043080767;0.028127204;0.006812229;0.003791594;0.004062308;0.021389805;0.003105519;0.01142346;0.003443022;0.043057615;0.024381487;0.009427924;-0.011887051;-0.014907686;-0.014636973;0.002690525;-0.015593762;-0.007275821;-0.015256259
4;1;1;-1;-1;-1;-1;1;1;0.000313522;0.000311396;0.000317903;0.000309164;0.000314805;0.000314817;0.000312557;0.000311594;0.000314862;0.000315745;0.000312377;-2.13E-06;4.38E-06;-4.36E-06;1.28E-06;1.30E-06;-9.65E-07;-1.93E-06;1.34E-06;2.22E-06;-1.15E-06
5;1;1;-1;1;-1;1;-1;-1;34.80648683;34.77466025;34.73092942;34.78708115;34.81245741;34.83906061;34.83148188;34.78521781;34.87949076;34.80893754;34.81555145;-0.031826575;-0.075557412;-0.019405677;0.005970586;0.032573782;0.024995051;-0.021269016;0.073003935;0.002450708;0.009064618
6;1;1;1;-1;1;-1;-1;-1;0.380535437;0.380638722;0.439890589;0.400528865;0.330926717;0.452946472;0.461472445;0.368548866;0.314523816;0.278948332;0.376929548;0.000103285;0.059355152;0.019993428;-0.04960872;0.072411035;0.080937008;-0.011986571;-0.066011621;-0.101587105;-0.00360589
7;1;1;1;1;1;1;1;1;46.58990044;46.63426014;46.60417853;46.66287096;46.58136016;46.58428643;46.54082117;46.55643163;46.59505448;46.59702864;46.54271228;0.044359694;0.014278086;0.072970516;-0.008540284;-0.00561401;-0.049079267;-0.033468815;0.005154038;0.007128202;-0.047188161
Sum;81.79725489;81.75721757;12.1825628;81.03350517;12.14470825;80.99757146;11.42107603;11.38530736;;;;;;;;;;;;;;;;;;;;;
qi;10.22465686;10.2196522;1.52282035;10.12918815;1.518088532;10.12469643;1.427634504;1.423163421;;;;;;;;;;;;;;;;;;;;;
SSx;;8355.303281;185.5185456;8208.036199;184.3674232;8200.758227;163.0512221;162.0315297;0.064787132;;;;;;;;;;;;;;;;;;;;
Variation;;33%;1%;32%;1%;32%;1%;1%;0%;;;;;;;;;;;;;;;;;;;;
