"packetDelayStat:vector FairNetwork.user[0] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",,"packetBytesStat:vector FairNetwork.user[0] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",,"userThroughputStat:vector FairNetwork.user[0] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",,"userThroughputStat:vector FairNetwork.user[1] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",,"userThroughputStat:vector FairNetwork.user[2] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",,"packetDelayStat:vector FairNetwork.user[1] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",,"packetBytesStat:vector FairNetwork.user[1] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",,"packetDelayStat:vector FairNetwork.user[2] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",,"packetBytesStat:vector FairNetwork.user[2] ($nUser=3, $0=100, #0 - General-0-20200904-16:08:25-9696)",
1,0.326624041391999963,1,34,1,2288,1,0,1,0,2,1.370156033198999695,2,57,3,2.398321649260999767,3,53
1,0.328686074212000021,1,62,2,0,2,2263,2,0,2,1.387825545384999687,2,24,3,2.406996754530999805,3,23
1,0.331758877733999923,1,49,3,0,3,0,3,2319,2,1.41032610407699987,2,63,3,2.453938951206000127,3,6
1,0.338175824753999986,1,31,4,0,4,2324,4,0,2,1.430352408847999962,2,63,3,2.469720158390999552,3,38
1,0.343531481955999915,1,38,5,2300,5,0,5,0,2,1.451258578077999843,2,68,3,2.479214231559999415,3,45
1,0.344650943561999988,1,14,6,0,6,0,6,2281,2,1.458559855128999766,2,23,3,2.484106383928999395,3,9
1,0.35202921647999996,1,56,7,0,7,2295,7,0,2,1.47034689015399999,2,24,3,2.49498494127800007,3,65
1,0.366242863280999973,1,19,8,2307,8,0,8,0,2,1.471320822545000065,2,49,3,2.502021699745999852,3,17
1,0.395187068061000011,1,17,9,0,9,0,9,2263,2,1.475081208768999722,2,60,3,2.517776400953999337,3,8
1,0.402895414645999981,1,33,10,0,10,0,10,2274,2,1.491314422360999971,2,74,3,2.52437487580099961,3,1
1,0.404442711450999968,1,17,11,0,11,2297,11,0,2,1.525816693233999815,2,18,3,2.53499573692499957,3,48
1,0.413165923401,1,75,12,2318,12,0,12,0,2,1.538403465345999693,2,51,3,2.545223553742999902,3,15
1,0.423380242143999939,1,2,13,0,13,0,13,2274,2,1.554535142258999683,2,58,3,2.55154734098499957,3,6
1,0.43613251916599993,1,34,14,0,14,2276,14,0,2,1.569603469748999995,2,4,3,2.553800590610999945,3,45
1,0.437391263259999994,1,47,15,2323,15,0,15,0,2,1.571811201917999938,2,29,3,2.558380888540999532,3,33
1,0.448750652676999982,1,38,16,0,16,0,16,2325,2,1.599800988030999785,2,33,3,2.564688012593999912,3,32
1,0.463916012416999976,1,72,17,0,17,2264,17,0,2,1.601313717207999858,2,34,3,2.566525117575999982,3,14
1,0.471265656628999994,1,57,18,2309,18,0,18,0,2,1.606947169520999801,2,46,3,2.57083027456099965,3,25
1,0.477454951224999922,1,57,19,0,19,2300,19,0,2,1.615127242634999843,2,43,3,2.57944139119600012,3,60
1,0.493594971973999928,1,38,20,0,20,0,20,2275,2,1.62123747474500001,2,41,3,2.581929931280999555,3,46
1,0.50964736754499995,1,64,21,2288,21,0,21,0,2,1.626638385242999968,2,33,3,2.59651820232199969,3,35
1,0.51606445927199984,1,19,22,0,22,0,22,2285,2,1.651168050044999883,2,59,3,2.59764928108699954,3,6
1,0.554516677962999969,1,65,23,0,23,2325,23,0,2,1.662268853230999706,2,67,3,2.60015745018499976,3,17
1,0.574925600122,1,1,24,2298,24,0,24,0,2,1.669913435755999922,2,50,3,2.602719439318999395,3,48
1,0.595328742700999888,1,55,25,0,25,0,25,2314,2,1.670191132031999975,2,9,3,2.611061136487999852,3,39
1,0.596841051238000017,1,29,26,0,26,2311,26,0,2,1.672799290531000065,2,31,3,2.620143005753999602,3,10
1,0.611898893823999976,1,22,27,2297,27,0,27,0,2,1.693846263493999687,2,47,3,2.62696092013000014,3,32
1,0.643400593110999838,1,50,28,0,28,0,28,2322,2,1.699706298139000087,2,67,3,2.62832094996599962,3,15
1,0.661275469744999841,1,21,29,0,29,2264,29,0,2,1.70199354220499987,2,57,3,2.63032654299400014,3,17
1,0.665867951117999898,1,38,30,2324,30,0,30,0,2,1.709428439112000035,2,39,3,2.631341676931000062,3,8
1,0.666072207001999978,1,49,31,0,31,2281,31,0,2,1.720987236217999863,2,74,3,2.632576846241999377,3,34
1,0.676518332084999893,1,34,32,0,32,0,32,2271,2,1.724745428144999862,2,22,3,2.638165148002999937,3,30
