run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,vectime,vecvalue
General-0-20200906-10:32:50-9473,runattr,,,configname,General,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,datetime,20200906-10:32:50,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,experiment,General,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,inifile,FairNetworkConf.ini,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,iterationvars,"$nUser=3, $0=1",,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,iterationvarsf,"nUser=3,1-",,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,measurement,"$nUser=3, $0=1",,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,network,FairNetwork,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,processid,9473,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,repetition,0,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,replication,#0,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,resultdir,results,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,runnumber,0,,,,,,,,,
General-0-20200906-10:32:50-9473,runattr,,,seedset,0,,,,,,,,,
General-0-20200906-10:32:50-9473,itervar,,,nUser,3,,,,,,,,,
General-0-20200906-10:32:50-9473,param,,,**.NUM_USER,3,,,,,,,,,
General-0-20200906-10:32:50-9473,param,,,**.TIMESLOT,1000ms,,,,,,,,,
General-0-20200906-10:32:50-9473,param,,,**.packetGenerator.senders[*].lambda,1,,,,,,,,,
General-1-20200906-10:33:13-9473,runattr,,,configname,General,,,,,,,,,
General-1-20200906-10:33:13-9473,runattr,,,datetime,20200906-10:33:13,,,,,,,,,
General-1-20200906-10:33:13-9473,runattr,,,experiment,General,,,,,,,,,
General-1-20200906-10:33:13-9473,runattr,,,inifile,FairNetworkConf.ini,,,,,,,,,
General-1-20200906-10:33:13-9473,runattr,,,iterationvars,"$nUser=3, $0=1",,,,,,,,,
General-1-20200906-10:33:13-9473,runattr,,,iterationvarsf,"nUser=3,1-",,,,,,,,,
General-1-20200906-10:33:13-9473,runattr,,,measurement,"$nUser=3, $0=1",,,,,,,,,
