;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;userThroughputTotalStat;userThroughputTotalStat[0];userThroughputTotalStat[1];userThroughputTotalStat[2];userThroughputTotalStat[3];userThroughputTotalStat[4];userThroughputTotalStat[5];userThroughputTotalStat[6];userThroughputTotalStat[7];userThroughputTotalStat[8];userThroughputTotalStat[9];userThroughputTotalStatError[0];userThroughputTotalStatError[1];userThroughputTotalStatError[2];userThroughputTotalStatError[3];userThroughputTotalStatError[4];userThroughputTotalStatError[5];userThroughputTotalStatError[6];userThroughputTotalStatError[7];userThroughputTotalStatError[8];userThroughputTotalStatError[9]
0;1;-1;-1;-1;1;1;1;-1;1903.294316;1895.595789;1922.826316;1894.786316;1905.594737;1898.669474;1911.586316;1893.22;1899.897895;1889.016842;1921.749474;-7.698526316;19.532;-8.508;2.300421053;-4.624842105;8.292;-10.07431579;-3.396421053;-14.27747368;18.45515789
1;1;-1;-1;1;1;-1;-1;1;19015.52526;19029.10842;19053.92737;19031.03474;18997.18632;18941.08421;19007.55789;19081.60526;19025.39263;18997.17474;18991.18105;13.58315789;38.40210526;15.50947368;-18.33894737;-74.44105263;-7.967368421;66.08;9.867368421;-18.35052632;-24.34421053
2;1;-1;1;-1;-1;1;-1;1;1903.280421;1911.586316;1894.763158;1893.174737;1921.707368;1899.897895;1922.826316;1889.016842;1905.594737;1895.595789;1898.641053;8.305894737;-8.517263158;-10.10568421;18.42694737;-3.382526316;19.54589474;-14.26357895;2.314315789;-7.684631579;-4.639368421
3;1;-1;1;1;-1;-1;1;-1;19015.43042;18991.52105;19007.37684;19024.96842;18941.00421;18996.77368;19054.24947;19029.31579;18996.79895;19081.28737;19031.00842;-23.90936842;-8.053578947;9.538;-74.42621053;-18.65673684;38.81905263;13.88536842;-18.63147368;65.85694737;15.578
4;1;1;-1;-1;-1;-1;1;1;1899.664074;1897.711895;1898.705263;1902.081158;1902.704421;1901.188737;1900.879684;1895.461158;1901.162;1897.198421;1899.548;-1.952178947;-0.958810526;2.417084211;3.040347368;1.524663158;1.215610526;-4.202915789;1.497926316;-2.465652632;-0.116073684
5;1;1;-1;1;-1;1;-1;-1;18874.12921;18887.96558;18900.12821;18845.41568;18882.44179;18890.86789;18870.90105;18877.77242;18832.97832;18858.77305;18894.04811;13.83636842;25.999;-28.71352632;8.312578947;16.73868421;-3.228157895;3.643210526;-41.15089474;-15.35615789;19.91889474
6;1;1;1;-1;1;-1;-1;-1;1899.635863;1902.019368;1895.467368;1900.868421;1902.689053;1898.680947;1899.527684;1901.157158;1901.104842;1897.660842;1897.182947;2.383505263;-4.168494737;1.232557895;3.053189474;-0.954915789;-0.108178947;1.521294737;1.468978947;-1.975021053;-2.452915789
7;1;1;1;1;1;1;1;1;7064.845232;7062.851789;7058.268105;7060.482947;7054.963895;7049.857895;7080.932842;7075.665474;7049.295368;7065.985053;7090.148947;-1.993442105;-6.577126316;-4.362284211;-9.881336842;-14.98733684;16.08761053;10.82024211;-15.54986316;1.139821053;25.30371579
Sum;71575.8048;-12099.25604;-11809.42093;56364.05545;-11809.20345;-12084.70644;-11809.33672;-11809.17482;;;;;;;;;;;;;;;;;;;;;
qi;8946.9756;-1512.407005;-1476.177616;7045.506932;-1476.150432;-1510.588305;-1476.167089;-1476.146853;;;;;;;;;;;;;;;;;;;;;
SSx;;182989996;174328028.3;3971133434;174321607.7;182550162.2;174325542.1;174320762.4;35145.39768;;;;;;;;;;;;;;;;;;;;
Variation;;4%;3%;79%;3%;4%;3%;3%;0%;;;;;;;;;;;;;;;;;;;;
