run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-1-20201009-16:28:26-15040,runattr,,,configname,General,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,datetime,20201009-16:28:26,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,experiment,General,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,inifile,FairNetworkConf.ini,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,iterationvars,"$simulationTime=100s, $warmUp=5000ms, $nUser=10, $timeslot=0.5ms, $userLambda=100",,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,iterationvarsf,"simulationTime=100s,warmUp=5000ms,nUser=10,timeslot=0.5ms,userLambda=100-",,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,measurement,"$simulationTime=100s, $warmUp=5000ms, $nUser=10, $timeslot=0.5ms, $userLambda=100",,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,network,FairNetwork,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,processid,15040,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,repetition,0,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,replication,#0,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,resultdir,results,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,runnumber,1,,,,,,,
General-1-20201009-16:28:26-15040,runattr,,,seedset,0,,,,,,,
General-1-20201009-16:28:26-15040,itervar,,,nUser,10,,,,,,,
General-1-20201009-16:28:26-15040,itervar,,,simulationTime,100s,,,,,,,
General-1-20201009-16:28:26-15040,itervar,,,timeslot,0.5ms,,,,,,,
General-1-20201009-16:28:26-15040,itervar,,,userLambda,100,,,,,,,
General-1-20201009-16:28:26-15040,itervar,,,warmUp,5000ms,,,,,,,
General-1-20201009-16:28:26-15040,param,,,**.NUM_USER,10,,,,,,,
General-1-20201009-16:28:26-15040,param,,,**.TIMESLOT,0.5ms,,,,,,,
General-1-20201009-16:28:26-15040,param,,,**.WARMUP,5000ms,,,,,,,
General-1-20201009-16:28:26-15040,param,,,**.packetGenerator.senders[*].lambda,100,,,,,,,
General-2-20201009-16:28:34-13940,runattr,,,configname,General,,,,,,,
General-2-20201009-16:28:34-13940,runattr,,,datetime,20201009-16:28:34,,,,,,,
General-2-20201009-16:28:34-13940,runattr,,,experiment,General,,,,,,,
General-2-20201009-16:28:34-13940,runattr,,,inifile,FairNetworkConf.ini,,,,,,,
General-2-20201009-16:28:34-13940,runattr,,,iterationvars,"$simulationTime=100s, $warmUp=5000ms, $nUser=10, $timeslot=1.5ms, $userLambda=2000",,,,,,,
General-2-20201009-16:28:34-13940,runattr,,,iterationvarsf,"simulationTime=100s,warmUp=5000ms,nUser=10,timeslot=1.5ms,userLambda=2000-",,,,,,,
General-2-20201009-16:28:34-13940,runattr,,,measurement,"$simulationTime=100s, $warmUp=5000ms, $nUser=10, $timeslot=1.5ms, $userLambda=2000",,,,,,,
