;identity;nUser;timeslot;userLambda;nUser-timeslot;nUser-userLambda;timeslot-userLambda;nUser-timeslot-userLambda;packetDelayStat;packetDelayStat[0];packetDelayStat[1];packetDelayStat[2];packetDelayStat[3];packetDelayStat[4];packetDelayStat[5];packetDelayStat[6];packetDelayStat[7];packetDelayStat[8];packetDelayStat[9];packetDelayStatError[0];packetDelayStatError[1];packetDelayStatError[2];packetDelayStatError[3];packetDelayStatError[4];packetDelayStatError[5];packetDelayStatError[6];packetDelayStatError[7];packetDelayStatError[8];packetDelayStatError[9]
0;1;-1;-1;-1;1;1;1;-1;0.000250224;0.000250572;0.000249684;0.000250182;0.000250338;0.000250696;0.000249448;0.000250123;0.000249777;0.000250314;0.000251108;3.48E-07;-5.41E-07;-4.21E-08;1.14E-07;4.72E-07;-7.76E-07;-1.02E-07;-4.47E-07;8.97E-08;8.84E-07
1;1;-1;-1;1;1;-1;-1;1;0.000250052;0.000250048;0.000249985;0.000250086;0.000250044;0.000249819;0.000250128;0.000249888;0.000250254;0.000250031;0.00025024;-4.50E-09;-6.75E-08;3.34E-08;-7.71E-09;-2.33E-07;7.55E-08;-1.64E-07;2.02E-07;-2.11E-08;1.88E-07
2;1;-1;1;-1;-1;1;-1;1;0.000750242;0.000751266;0.000752253;0.000748613;0.000752703;0.000747966;0.000750434;0.000746962;0.000752434;0.000749044;0.000750746;1.02E-06;2.01E-06;-1.63E-06;2.46E-06;-2.28E-06;1.92E-07;-3.28E-06;2.19E-06;-1.20E-06;5.04E-07
3;1;-1;1;1;-1;-1;1;-1;0.000750068;0.00075031;0.000750184;0.000749856;0.000750238;0.000749653;0.000749954;0.000750266;0.000749573;0.000750036;0.000750614;2.41E-07;1.15E-07;-2.12E-07;1.70E-07;-4.15E-07;-1.15E-07;1.98E-07;-4.96E-07;-3.20E-08;5.45E-07
4;1;1;-1;-1;-1;-1;1;1;0.000249955;0.000249914;0.000249967;0.000250079;0.000249855;0.000249972;0.000249752;0.000249926;0.000249907;0.000250144;0.000250033;-4.04E-08;1.18E-08;1.24E-07;-9.96E-08;1.68E-08;-2.03E-07;-2.89E-08;-4.81E-08;1.89E-07;7.79E-08
5;1;1;-1;1;-1;1;-1;-1;0.000250006;0.000250008;0.000250034;0.000250005;0.000249987;0.000250021;0.000250013;0.000249989;0.000250002;0.000249998;0.000250003;1.84E-09;2.80E-08;-1.11E-09;-1.92E-08;1.51E-08;7.32E-09;-1.66E-08;-3.84E-09;-8.43E-09;-3.05E-09
6;1;1;1;-1;1;-1;-1;-1;0.000749989;0.000750511;0.000749552;0.000750016;0.00074962;0.000749754;0.000749876;0.000750258;0.000749378;0.00075012;0.000750803;5.22E-07;-4.36E-07;2.73E-08;-3.69E-07;-2.35E-07;-1.13E-07;2.69E-07;-6.11E-07;1.31E-07;8.14E-07
7;1;1;1;1;1;1;1;1;0.000749994;0.000750055;0.000750059;0.00074994;0.000750102;0.000750051;0.000749852;0.000749974;0.000749973;0.000749996;0.000749943;6.05E-08;6.45E-08;-5.46E-08;1.08E-07;5.65E-08;-1.43E-07;-2.09E-08;-2.18E-08;1.64E-09;-5.10E-08
Sum;0.004000531;-6.43E-07;0.002000057;-2.89E-07;-1.17E-08;4.03E-07;-4.73E-08;-4.39E-08;;;;;;;;;;;;;;;;;;;;;
qi;0.000500066;-8.04E-08;0.000250007;-3.61E-08;-1.46E-09;5.03E-08;-5.91E-09;-5.48E-09;;;;;;;;;;;;;;;;;;;;;
SSx;;5.17E-13;5.00E-06;1.04E-13;1.71E-16;2.03E-13;2.80E-15;2.41E-15;4.16E-11;;;;;;;;;;;;;;;;;;;;
Variation;;0.000%;99.999%;0.000%;0.000%;0.000%;0.000%;0.000%;0.001%;;;;;;;;;;;;;;;;;;;;
